"","X","dataset","sample","condition","auprc","auroc","dbl_act","isBarcoded","TNR"
"370",370,"pbmc-2stim-dm",NA,"DoubletFinder",0.32523424518686,0.806165065341095,NA,"NonBarcoded",0.945217745217745
"371",371,"pbmc-ch",NA,"DoubletFinder",0.126487032741685,0.623526017743612,NA,"NonBarcoded",0.928105602262906
"372",372,"pdx-MULTI",NA,"DoubletFinder",0.266974828945786,0.682146947230264,NA,"NonBarcoded",0.938745962802094
"373",373,"cline-ch",NA,"hybrid",0.185901969351725,0.562512227457487,NA,"NonBarcoded",0.930343658498998
"374",374,"HEK-HMEC-MULTI",NA,"hybrid",0.531545079701526,0.827905965377712,NA,"NonBarcoded",0.957859174964438
"375",375,"hm-12k",NA,"hybrid",0.784407558540231,0.974717011920011,NA,"NonBarcoded",0.974032162001191
"376",376,"hm-6k",NA,"hybrid",0.246698852918145,0.806276882440078,NA,"NonBarcoded",0.938453713123093
"377",377,"HMEC-orig-MULTI",NA,"hybrid",0.323853624751164,0.747772442688329,NA,"NonBarcoded",0.945577040860968
"378",378,"HMEC-rep-MULTI",NA,"hybrid",0.246349481322753,0.684328572384193,NA,"NonBarcoded",0.941216771718279
"379",379,"mkidney-ch",NA,"hybrid",0.232371302956109,0.703171734125191,NA,"NonBarcoded",0.939222774514234
"380",380,"nuc-MULTI",NA,"hybrid",0.35755357461312,0.764814638271428,NA,"NonBarcoded",0.945718204977464
"381",381,"pbmc-2ctrl-dm",NA,"hybrid",0.507159253469016,0.903163040828728,NA,"NonBarcoded",0.96516443361754
"382",382,"pbmc-2stim-dm",NA,"hybrid",0.501660973219393,0.899748406677246,NA,"NonBarcoded",0.963939763939764
"383",383,"pbmc-ch",NA,"hybrid",0.402506833255932,0.804287650272852,NA,"NonBarcoded",0.953799009978785
"384",384,"pdx-MULTI",NA,"hybrid",0.263444358598392,0.714326671181398,NA,"NonBarcoded",0.942643946987415
"385",385,"pdx-MULTI",NA,"Scrublet",0.173377081801021,0.639012939425169,NA,"NonBarcoded",0.933400155919367
"386",386,"HMEC-rep-MULTI",NA,"Scrublet",0.196536572942744,0.668591869630985,NA,"NonBarcoded",0.93272129350507
"387",387,"mkidney-ch",NA,"Scrublet",0.173653267586264,0.66562529953854,NA,"NonBarcoded",0.933423708389818
"388",388,"hm-12k",NA,"Scrublet",0.792096458906797,0.97328726329273,NA,"NonBarcoded",0.975818939845146
"389",389,"HMEC-orig-MULTI",NA,"Scrublet",0.295894740416596,0.731510321443932,NA,"NonBarcoded",0.943345874529705
"390",390,"pbmc-2stim-dm",NA,"Scrublet",0.458901598148723,0.863433109406892,NA,"NonBarcoded",0.958892958892959
"391",391,"pbmc-2ctrl-dm",NA,"Scrublet",0.499990201755269,0.876029171988189,NA,"NonBarcoded",0.960779537149817
"392",392,"pbmc-ch",NA,"Scrublet",0.320684005015731,0.76710443317733,NA,"NonBarcoded",0.944605955841911
"393",393,"hm-6k",NA,"Scrublet",0.178789676679983,0.457636546435604,NA,"NonBarcoded",0.930315361139369
"394",394,"cline-ch",NA,"Scrublet",0.21176514523842,0.573954941750852,NA,"NonBarcoded",0.930343658498998
"395",395,"HEK-HMEC-MULTI",NA,"Scrublet",0.531793888022247,0.762600467758686,NA,"NonBarcoded",0.957147937411095
"396",396,"nuc-MULTI",NA,"Scrublet",0.360808859260028,0.744546795472721,NA,"NonBarcoded",0.944346462864981
